COUNTRY,Universal_Govt_Funded,Universal_Public_Insurance,Universal_Public_Private_Ins,Non_Universal,Central_South_America,DEATHS_PER_1M_23JUN2022,CONFIRMED_TOTAL_23JUN2022,CONFIRMED_CFR_23JUN2022,TESTS_TOTAL_23JUN2022,TESTS_PER_1M_23JUN2022,CONFIRMED_PER_1M_23JUN2022,DEATHS_TOTAL_23JUN2022,legatumRank2020_PROSPERITY,legatumRank2019_PROSPERITY,pop2022,ceoworldRank_HEALTHCARE_SYSTEM,Fragility_Index,Weak Security Apparatus,Factionalized Elites,Group Grievance,Economy Fragility,Economic Inequality,Human Flight and Brain Drain,Fragile State Legitimacy,Fragile Public Services,Fragile Human Rights,Demographic Pressures,Refugees and IDPs,External Intervention,LN_DEATHS_PER_1M_23JUN2022,LN_CONFIRMED_PER_1M_23JUN2022,Quality_Healthcare_System,LN_POP,stringency_index_mean,population_mean,population_density_mean,median_age_mean,aged_65_older_mean,aged_70_older_mean,gdp_per_capita_mean,total_vaccinations_per_hundred_max,people_vaccinated_per_hundred_max,people_fully_vaccinated_per_hundred_max,LN_POP_DENSITY,LN_GDP_PC,LN_TOTAL_VAX_P100,LN_PEOPLE_VAX_P100,LN_FULLY_VAX_P100,LN_FRAGILITY_INDEX,LN_QUAL_HC_INDEX,LN_STRINGENCY_INDEX,LN_TESTS_PER_1M_23JUN2022,INT_Quality_HC_BY_LN_POP,INT_Quality_HC_BY_TOTAL_VAX,INT_Quality_HC_BY_AGED_70LUS,LN_AGED65,LN_AGED70
Finland,1,0,0,0,0,876,1133597,0.43%,11040907,2000871,205434,4832,5,5,5554.96,12,16.2,2.5,1.4,0.6,2.9,1,1.5,0.5,1.6,0.5,1.7,1.5,0.5,6.775366091,12.23288009,78,8.622446501,40.02,5548361,18.14,42.8,21.23,13.26,40585.72,219.15,81.41,78.11,2.898119445,10.61117156,5.389756427,4.399498116,4.35811809,2.785011242,4.356708827,3.69,14.509,672.55,420.4,1034.28,3.06,2.58
France,0,1,0,0,0,2228,30434451,0.49%,271490188,4052864,454332,149268,22,20,65584.52,7,32.5,3.5,1.9,6.4,4.2,3,2.1,0.9,1.8,1.2,3.9,2.7,0.9,7.708859601,13.02658349,83,11.09109497,57.83,67422000,122.58,42,19.72,13.08,38605.67,215.67,80.75,78.44,4.808763878,10.56115444,5.373749462,4.391357962,4.362334001,3.481240089,4.418840608,4.06,15.215,920.56,446.02,1085.64,2.98,2.57
Georgia,1,0,0,0,0,4513,1659371,1.01%,16920079,4534998,444752,16839,53,53,3968.74,79,72.6,5.6,9.1,7.3,5.7,4.4,5.5,8.2,4.4,4.8,4.5,6.3,6.8,8.4147174,13.0052721,11,8.286203943,56.64,3979773,65.03,38.7,14.86,10.24,9745.08,72.87,40.96,31.91,4.174848702,9.184517821,4.288677032,3.712595981,3.46291944,4.284964922,2.397895273,4.04,15.327,91.15,47.18,112.64,2.7,2.33
Germany,0,0,1,0,0,1695,27573585,0.51%,122332384,1475165,332501,140560,8,8,83883.6,17,24.8,2.3,2.3,4,1.8,2.5,2,0.5,2,0.8,2.1,4,0.5,7.43543802,12.71439815,73,11.3371854,57.17,83900471,237.02,46.6,21.45,15.96,45229.24,217.54,77.1,75.48,5.468144526,10.71949906,5.382382742,4.345103281,4.323867721,3.210843653,4.290459441,4.05,14.204,827.61,392.91,1165.08,3.07,2.77
Greece,1,0,0,0,0,2810,3583526,0.84%,84596939,7885865,334045,30141,41,41,10316.64,26,54.5,3.9,4.1,4.2,6,2.9,3.9,5.5,4,3.3,3.9,5.9,6.9,7.940939762,12.71903099,64,9.241513405,66.27,10370747,83.48,45.3,20.4,14.52,24574.38,203.17,76.35,73.56,4.424607082,10.10945972,5.314043067,4.335328032,4.2981014,3.998200702,4.158883083,4.19,15.881,591.46,340.1,929.28,3.02,2.68
Hong Kong,0,0,0,0,0,1261,1232306,0.76%,50415048,6766212,165388,9398,17,15,7604.3,36,,,,,,,,,,,,,,7.139660336,12.01604951,54,8.936469156,62.44,7552800,7039.71,44.8,16.3,10.16,56054.92,232.19,89.14,84.97,8.859322255,10.9340872,5.447556002,4.490208168,4.442298253,,3.988984047,4.13,15.727,482.57,294.17,548.64,2.79,2.32
Hungary,0,1,0,0,0,4773,1925083,2.42%,11394556,1166425,197065,46626,46,46,9606.26,49,51.1,2.4,5.3,3.6,5,2.9,4,6.4,3.4,5.3,3.3,5.6,3.9,8.470730317,12.1912889,41,9.170170248,48.63,9634162,108.04,43.4,18.58,11.98,26777.56,171.58,66.55,64.34,4.682501529,10.1953195,5.14504963,4.197953545,4.164181522,3.933784497,3.713572067,3.88,13.969,375.98,210.95,491.18,2.92,2.48
Iceland,1,0,0,0,0,32,192031,0.08%,1964720,404804,39565,153,11,14,345.39,41,18,0.7,1.8,0.5,3.4,1.3,1.9,0.5,1.2,0.5,1.5,1.5,3.2,3.465735903,10.58570017,49,5.844674213,36.73,368792,3.4,37.3,14.43,9.21,46482.96,218.41,84,78.69,1.223775432,10.74684107,5.38637403,4.430816799,4.365516083,2.890371758,3.891820298,3.6,12.911,286.39,263.93,451.29,2.67,2.22
India,0,1,0,0,0,388,43365016,1.21%,859493387,635430,32060,524941,101,98,1406631.78,19,77,6.6,7.3,8.2,7,6.2,5.5,4.3,7.5,7.7,8.1,4.1,4.5,5.96100534,10.37536443,71,14.1567086,67.92,1393409033,450.42,28.2,5.99,3.41,6426.67,141.05,72.86,65.22,6.110180481,8.768211798,4.949114437,4.288539792,4.17776617,4.343805422,4.262679877,4.22,13.362,1005.13,351.39,242.11,1.79,1.23
Indonesia,0,0,0,1,0,585,6074825,2.58%,100374822,375004,22696,156706,57,61,279134.51,52,67.6,5.8,7.1,7.1,4.3,4.8,6.3,4.4,6.1,6.4,6.8,4.2,4.3,6.371611847,10.02994398,38,12.53944906,64.99,276361788,145.73,29.3,5.32,3.05,11188.74,151.08,72.73,60.88,4.981755595,9.322663194,5.017809498,4.286753954,4.108904714,4.213607983,3.63758616,4.17,12.835,476.5,190.68,115.9,1.67,1.12
